isoform	associated_gene	chrom	start	end
30004b1c-044f-442c-aba0-8bfe3a1bff21	LINC00115_RP11-206L10.8	chr1	791647	827522
cbe35306-acef-4f5c-8e4c-b0438c3eb9b4	LINC00115_RP11-206L10.8	chr1	800428	827522
62e12587-ca8a-4595-8fca-37c53f08b967	LINC00115_RP11-206L10.8	chr1	800431	827522
cccd7837-1bea-4e82-9c02-5bb29f3954e1	LINC00115_RP11-206L10.8	chr1	800431	827522
98de2634-8117-45b1-878e-883065cf3150	LINC00115_RP11-206L10.8	chr1	800878	827522
1f2e3505-7d30-44d3-8314-3986d8774edc	LINC00115_RP11-206L10.8	chr1	805664	827522
770f4a98-56b2-4895-9ef3-c57f4caf0f76	LINC00115	chr1	824809	827220
5d104c19-230d-4ce1-bd35-05362bbdbc5e	LINC00115	chr1	826207	827522
1ed7dd76-3064-4e1b-bbf8-338481100668	LINC01128	chr1	827637	854385
77246d7a-420f-4bb8-8965-7d20b2e1feae	LINC01128	chr1	827637	854385
ENST00000608189.5	LINC01128	chr1	827637	854385
ENST00000623070.4	LINC01128	chr1	827637	853602
ENST00000659124.1	LINC01128	chr1	827637	857246
ENST00000661237.1	LINC01128	chr1	827637	854385
794fff83-2495-43da-b32d-cd7e2226b549	RP11-465B22.3	chr1	1059733	1066456
add6530e-1f61-45b8-b355-7c4adaffad01	novelGene_11	chr1	1214833	1216772
2b033854-f19d-4d08-8413-0d15ee1c879c	LINC01786_SCNN1D	chr1	1274009	1280471
ENST00000493534.6	INTS11_RP5-890O3.9	chr1	1318678	1324658
1b7dbacb-b617-4afd-888a-9d5f42e3226c	MRPL20-AS1	chr1	1399519	1408602
21b40401-2191-45d6-99b1-f6fb090f21b4	MRPL20-AS1	chr1	1399519	1402046
0dc1f93f-9418-460f-bdff-bc43f0df9eb0	MRPL20-AS1	chr1	1399529	1408438
593a78cf-9cad-4b0f-851d-53d89e2dddfe	MRPL20-AS1	chr1	1399529	1402046
5bd8f85a-bab7-4951-8ed1-32b99476e073	MRPL20-AS1	chr1	1399529	1402046
b0f0bc3b-ed4d-47fd-918b-5effb66ca8a4	MRPL20-AS1	chr1	1399529	1402046
e21f99e5-5325-4160-97bd-3627dd023835	MRPL20-AS1	chr1	1399529	1402046
f2125d4d-a8fc-4326-af0b-d649652eaa75	RN7SL657P	chr1	1404320	1407268
4f525b9d-0b18-48ba-8ee9-e1195c6e3d7f	RP5-832C2.8	chr1	1505678	1509452
46532013-ef5b-4600-ad44-2e701d54020c	RP5-832C2.5	chr1	1574974	1576008
5d919fbd-604f-4508-a2fb-f9e078059805	RP11-345P4.12	chr1	1599766	1601685
7e9b85dc-01d6-4b4a-9dd8-2a46b8f1cdc5	RP11-345P4.12	chr1	1599766	1602836
0f2fd4fe-e0e7-4e64-b0d9-0d2fdfd2cff4	RP11-345P4.9	chr1	1613757	1615795
dc1d1339-f8c7-4505-9edb-3ceaf84fde63	RP11-345P4.9	chr1	1613757	1616163
4ca65e7e-4ab6-4fba-9390-ca21d3a71a71	novelGene_MIB2_AS	chr1	1624743	1629766
6ca573e8-6828-4c12-a086-4fbd6baf3f31	novelGene_MIB2_AS	chr1	1624743	1629766
ed0426f0-29f3-4903-895b-8480299b6c1a	novelGene_MIB2_AS	chr1	1624743	1629766
58023c13-cd29-49c7-99f9-543b2d6d6822	CDK11B_CDK11A	chr1	1641986	1724357
16545212-a128-45c6-b1a4-f53da9a03b0f	CDK11B_CDK11A	chr1	1652475	1716472
42d79dfd-3c6a-48e5-9c3a-f2c6fdd8a11f	CDK11B_CDK11A	chr1	1652475	1724357
694641c8-dd87-4108-8192-3b36ea8c619c	CDK11B_CDK11A	chr1	1652475	1724357
7c413c8d-79e3-494a-9183-bd51aac6ecbc	CDK11B_CDK11A	chr1	1652475	1724357
84f065f0-6126-4a89-80f3-3d502f5852b5	CDK11B_CDK11A	chr1	1652475	1724511
11763582-7ff0-42b8-aa46-03d2883cf73a	novelGene_PRKCZ_AS	chr1	2111528	2112607
138687bc-fb15-4ec3-91c5-b1da54eace15	RP4-740C4.5_MORN1	chr1	2351643	2391554
5b3705a7-c091-4d35-bd49-489eba8b97a3	RP3-395M20.12	chr1	2546399	2547460
0d56661b-cf24-4e16-8602-b3fa6464069d	TNFRSF14-AS1	chr1	2549919	2557011
1a95baa2-dd9e-4022-949b-bb16fbc2bac0	TNFRSF14-AS1	chr1	2549919	2557011
dc938f78-0c5d-42d0-9ba6-237f3066c3d1	TNFRSF14-AS1	chr1	2549919	2557011
31d8fbc7-d8fb-4071-a5e6-debf5dd1f316	TNFRSF14_RP3-395M20.7	chr1	2556570	2577363
58327256-656d-4a23-9bfb-3710d347ccb6	RP3-395M20.9_TNFRSF14	chr1	2556570	2584533
ENST00000648432.1	TP73-AS1	chr1	3735983	3747322
1dfb06e1-0b2a-48f4-bca0-27eade52cc17	TP73-AS1	chr1	3737148	3747322
43e55519-3ea0-498c-ac00-edcf14f2731b	TP73-AS1	chr1	3737148	3747322
44607bd4-cdc6-460c-84d8-3ad733f9a5b0	TP73-AS1	chr1	3737148	3747322
4d275ba4-cbe6-4ff6-9ee5-1a513ec92291	TP73-AS1	chr1	3737148	3747322
8875759b-55cb-4a6e-a0cd-2916f56b8283	TP73-AS1	chr1	3737148	3747322
ENST00000423764.6	TP73-AS1	chr1	3737148	3747322
ENST00000452079.5	TP73-AS1	chr1	3737148	3747322
ENST00000650039.1	TP73-AS1	chr1	3737148	3747322
e1b0449c-12f0-4878-a367-2c20efb239be	TP73-AS1	chr1	3737148	3747322
e71311c1-b29b-41c3-8f86-7a196f8cdbc0	TP73-AS1	chr1	3737148	3747322
2d5a5646-69e7-41ab-b923-bb690796f747	novelGene_34	chr1	3921672	3922230
23619346-3c5d-4005-93e2-32efb8455ef0-1	CAMTA1-DT	chr1	6783891	6784985
1d0597fc-4a15-460b-985e-35995c63efea	RP11-338N10.3	chr1	7700423	7704566
4eb708d6-2c0f-4acf-8859-de58845fe070	RP3-467L1.4	chr1	7793854	7827393
1f560422-0e9b-4b81-95e3-bef81f18ec82	RP3-467L1.4	chr1	7810347	7827393
a7137de1-271d-4e6c-96c3-25f6c4d13236	RP3-467L1.4	chr1	7810347	7827393
d89ac87c-0e6f-4a3d-86cd-4c71cf7db22d	novelGene_42	chr1	7905136	7913229
02a3cb0f-96a5-400c-b563-f099b4092bfc	CTA-215D11.6_PARK7	chr1	7961662	8012272
041e4046-f4a6-4406-9e12-0cff0652e3b6	CTA-215D11.6_PARK7	chr1	7961662	7991290
1d2ea276-0e87-48d1-aa75-06276da26cbe	CTA-215D11.6_PARK7	chr1	7961691	8002261
56df9e07-e49f-4099-98e7-61e77bb191eb	CTA-215D11.6_PARK7	chr1	7961691	8012708
ENST00000442636.1	ENO1-AS1	chr1	8878834	8879894
c8de5ca7-2259-4d86-9ae4-be1f48343fa2	ENO1-AS1	chr1	8878834	8879790
ENST00000412639.3	LNCTAM34A	chr1	9182213	9192094
c8d9009e-0b80-4a9c-9f32-33195f2003d0	LNCTAM34A	chr1	9182213	9185386
ENST00000377320.3	PIK3CD-AS1	chr1	9652609	9654586
6ae4468f-f466-4aee-8088-73d2b80a0c5b	novelGene_CTNNBIP1_AS	chr1	9850658	9855622
2525cacf-d12d-480f-9690-8b4ceaf86c58	novelGene_RBP7_AS	chr1	9991185	9997925
b0c43bb9-70cd-471d-a4ce-b1c4346f6f4b	novelGene_PGD_AS	chr1	10377026	10398867
ENST00000435388.1	EXOSC10-AS1	chr1	11099417	11102100
ENST00000447600.1	EXOSC10-AS1	chr1	11099417	11102100
ee0b24ab-a68c-4aa3-b354-5a1d2447aa31	RP3-467K16.4	chr1	15385129	15411078
2e2ca920-670e-4625-891d-d2e703d871e4	RP3-467K16.4	chr1	15402978	15411078
53a8c26b-9aed-4bc3-bbb8-2af6ae2ff41a	RP3-467K16.4	chr1	15402978	15410550
8b330def-c3b6-401c-a29b-67ad03d67690	EFHD2_CTRC	chr1	15429967	15446654
052d9361-c05e-42a9-84f3-18f225ec2690	novelGene_72	chr1	15584681	15610088
c10f0e8f-0a52-4d08-b7fb-12a34130a0e3	RP4-680D5.9	chr1	15682872	15684785
07c4e032-024d-4768-801a-af3f6b7420e7	FLJ37453	chr1	15790027	15848602
142e95cc-ba55-4353-b60a-1e8ae42b195c	UQCRHL_FLJ37453	chr1	15807350	15848602
2ed716cc-7474-43cc-bbbe-70a66ee20b98	FLJ37453	chr1	15819100	15834922
929c23b0-b482-49c5-9236-e09a682fb95c	FLJ37453	chr1	15819100	15834922
ENST00000317122.2	FLJ37453	chr1	15836482	15848602
8b75a451-cca4-4903-9129-d9f595ee1537	FLJ37453	chr1	15846736	15848602
f7bf0b34-4043-43e1-9f6b-8c78afcd696f	CROCCP3	chr1	16457645	16499257
7f3e2fe9-fbe9-4c8f-a271-1bd9967f8a21	CROCCP3	chr1	16468921	16499257
2f321c87-db60-476e-b521-3bfca371cfb0	CROCCP3	chr1	16473234	16499257
4195d98e-f5ab-480e-be3f-5293d865f09e	CROCCP3	chr1	16473234	16499257
81c28c05-78cf-44d0-817b-4f09031cd5cd	CROCCP3	chr1	16473234	16499157
62b5ae06-b5dd-4de5-b5d1-ca39fe4e3932	CROCCP3	chr1	16477457	16499257
17a0ce33-f6e6-4228-9947-d77647e5e6e5	NBPF1_CROCCP2	chr1	16594002	16644686
3ea94c08-371b-4d11-9b69-4aeb96f63a99	NBPF1_CROCCP2	chr1	16594002	16644686
4d0443c8-a878-4379-822f-6e5299e52f75	NBPF1_CROCCP2	chr1	16594002	16644686
e90eb56a-117c-4e1a-84ab-6a964d0c2851	NBPF1_CROCCP2	chr1	16594002	16644686
ea48b35f-f015-4235-9681-681b33c2ddf1	CROCCP2	chr1	16617729	16644686
064f649c-90e1-4cd9-b2d5-d1414030885a	CROCCP2	chr1	16618255	16644686
2ed3ef48-3d7d-4a49-b6c7-c8d94b2a5071	CROCCP2	chr1	16618255	16644686
2f7dbc53-b735-4891-b251-5c0577589173	CROCCP2	chr1	16618255	16644686
36df8ce1-62c4-4f56-b4c8-f66d067212a0	CROCCP2	chr1	16618255	16644686
49aeee4c-40e0-46b7-ab93-c37da42c9f4e	CROCCP2	chr1	16618255	16644686
6d234e9c-736c-42bc-97df-c970ade3a2ee	CROCCP2	chr1	16618255	16644686
9a7884b5-88a5-4411-8f44-bdef7bd2bf85	CROCCP2	chr1	16618255	16644686
9f512178-b262-4f95-a6d9-5c2be4bb805f	CROCCP2	chr1	16618255	16644686
ae2de6d2-326f-4166-ac8e-c33ae963f211	CROCCP2	chr1	16618255	16644686
b10e7f6d-fa2c-4f19-98f3-b536a724c20f	CROCCP2	chr1	16618255	16644686
bc2c5578-7c71-406f-8ff8-0288bc026292	CROCCP2	chr1	16618255	16644686
bd7cac41-9af3-4eb6-bd58-fe360c964181	CROCCP2	chr1	16618255	16644686
c0205a1c-ccd9-4682-8ced-53060ffdae6e	CROCCP2	chr1	16618255	16644686
c6b87d85-1f45-4a24-8828-7edf2950e881	CROCCP2	chr1	16618255	16644686
cd3c8352-bac6-4131-aab6-bb7b69a94dab	CROCCP2	chr1	16618255	16644686
d2fb1d83-bbb5-4d5f-961b-a4a41bb77174	CROCCP2	chr1	16618255	16644686
d80cbfd8-c49a-4e26-8f18-31b4d09b7829	CROCCP2	chr1	16618255	16644686
dc1f666a-c5cb-4fdf-b66f-ea823e85c58e	CROCCP2	chr1	16618255	16644686
deee10d7-1211-4de0-a2e9-ca636cb266ed	CROCCP2	chr1	16618255	16644686
e203c8e3-8643-4413-8a04-e355f520315d	CROCCP2	chr1	16618255	16644686
e81239e8-8367-4982-bc9a-403561ea6b04	CROCCP2	chr1	16618255	16644686
df468d50-ad4c-4c0c-90ad-11dd5444f3d5	CROCCP2	chr1	16620992	16644686
6d7579ac-16c0-4e54-b2c1-9a7320a9cfd8	CROCCP2	chr1	16632636	16644686
135b79b3-f46a-47f5-a2fd-90f88aaf4e72	CROCCP2	chr1	16635030	16644686
202398b3-0076-4e29-9499-2fd123e03ba8	CROCCP2	chr1	16635030	16644686
30ca9881-236f-464c-8d3d-3d4d3aa46343	CROCCP2	chr1	16635030	16644686
6705a294-6952-4aea-ba67-c917063c866f	CROCCP2	chr1	16635030	16644686
93cb2692-266e-4ebb-9d23-a189946c172e	CROCCP2	chr1	16635030	16644686
d47b19ba-ed3a-43f1-b7c3-7b58fb69d19b	CROCCP2	chr1	16635030	16644686
d9f86e72-2b0c-482b-81f6-81ba5c9d94aa	CROCCP2	chr1	16635030	16644686
e28a6a05-08a3-488f-910c-fd4ef9c1d7ae	CROCCP2	chr1	16635030	16644686
ee988817-5adb-4190-a11c-312cd1d94c57	CROCCP2	chr1	16635030	16644686
627b4bc7-6e39-4b0e-a67e-499abb7f36fd	MST1P2	chr1	16644790	16650289
ENST00000422124.1	RP11-108M9.4	chr1	16888541	16889501
166b989b-f464-40e3-a99d-444d574bade4	AKR7A3_AKR7A2	chr1	19282572	19312103
8711f34e-9dc5-4e90-8282-9d09a3c5a890	ZNF436-AS1	chr1	23368996	23371783
ENST00000437367.3	ZNF436-AS1	chr1	23368996	23371783
fd3638b7-f71c-4101-bc77-1edd20a3fc2f	ZNF436-AS1	chr1	23368996	23371783
a4b55d08-8198-4df3-a93a-f9e326bc6c24	RP1-150O5.3	chr1	23549138	23554936
2076114a-a6a3-48be-b4b4-c8971d1038db	MDS2	chr1	23591713	23640568
0cddac01-98ad-46b1-be67-c0cad495c96b	MDS2	chr1	23627333	23635677
0e7c1289-2a0b-4ee3-b462-d863a1b80381	MDS2	chr1	23627333	23640568
1499e2ea-87da-4183-8711-0a944b514967	MDS2	chr1	23627333	23631818
20d5b500-e84a-412a-8551-399603a24a78	MDS2	chr1	23627333	23640568
24bfa1ce-0997-43ac-b95e-5b40c25901ec	MDS2	chr1	23627333	23635677
2d5b8193-5e6a-4779-855a-dee562fdffdc	MDS2	chr1	23627333	23661523
3b47d73f-b200-405a-a8de-38747fe23824	MDS2	chr1	23627333	23640568
3d69d3ed-dd76-4218-a3ee-9b1c7cf10cd0	MDS2	chr1	23627333	23640568
6ea202d3-55f5-49d2-9357-f52e2d5c8c49	MDS2	chr1	23627333	23640568
7068fbfc-2d48-439e-b799-7f6da84cb049	MDS2	chr1	23627333	23635677
7964c56a-a135-4488-be21-e53a0e91a1a2	MDS2	chr1	23627333	23661523
798d55a3-68d9-4584-acb9-0ea9cac73199	MDS2	chr1	23627333	23640568
7c13872f-72cf-4284-a679-a5db89d35422	MDS2	chr1	23627333	23630678
98c930a6-c4df-495d-b9b0-f740c7a1995a	MDS2	chr1	23627333	23640568
b20cc75c-207e-4d90-b931-aa0c6651ed00	MDS2	chr1	23627333	23640568
cb34d972-c5e5-4d93-bb12-a86a0dcfe51b	MDS2	chr1	23627333	23640568
ec1ef780-2687-4aa8-84e3-87c9ebc2a811	MDS2	chr1	23627333	23640568
4a4192ad-8dde-4f9c-9dfa-68c234880fb1	ELOA-AS1	chr1	23753022	23778287
11aa36ff-e4c0-4b3a-98e1-00144b08e882	ELOA-AS1	chr1	23760520	23778287
2afce50c-55b6-4496-94ea-ba91230874e1	ELOA-AS1	chr1	23760520	23778287
3a1c9195-2328-45b6-83b6-7890f7095e00	ELOA-AS1	chr1	23760520	23778287
3f149176-69af-44a0-9be6-805b6656809a	ELOA-AS1	chr1	23760520	23778287
791e8790-df40-4174-879f-b9fb72194549	ELOA-AS1	chr1	23760520	23778287
ENST00000427796.5	ELOA-AS1	chr1	23760520	23778287
ENST00000664563.1	ELOA-AS1	chr1	23760520	23778287
a259021c-fb18-4dfb-8d03-574006b03e66	ELOA-AS1	chr1	23760520	23778287
bfbc807f-5321-49f3-b7d6-3d591c86038e	ELOA-AS1	chr1	23760520	23778287
cbd91724-4b45-4d04-9e94-2350fd7c3970	ELOA-AS1	chr1	23760520	23778287
79a95871-5be0-41f8-a7a5-7e8bdf55279a	ELOA-AS1	chr1	23763477	23778287
30688a09-dbcd-42d4-8ae4-a841e0f2d1bf	ELOA-AS1	chr1	23763901	23778287
b8827db1-cd2c-4383-ae77-881a488811dc	FUCA1_CNR2	chr1	23845076	23913362
27692748-993e-4ca7-b36d-5bc2d8243690	RP11-70P17.1_LDLRAP1	chr1	25543605	25591241
2cc4c10f-214d-4566-b55b-b8fcc4bf4ced	RP11-70P17.1_LDLRAP1	chr1	25543605	25591241
386f499a-0290-4af0-a774-2d488a357572	RP11-70P17.1_LDLRAP1	chr1	25543605	25590356
483feb40-378e-4f7d-8c0b-29fd35c67234	RP11-70P17.1_LDLRAP1	chr1	25543605	25590356
976cb282-6fcf-484f-8ea0-dfcdf2d5b008	RP11-70P17.1_LDLRAP1	chr1	25543605	25590356
a10c98f9-78ed-435e-93c8-f7196eaa1519	RP11-70P17.1_LDLRAP1	chr1	25543605	25590628
e59fcf3a-7cb8-4d13-a6c5-544cddbab54b	RP11-70P17.1_LDLRAP1	chr1	25543605	25591241
188b6949-e2e6-45aa-8166-2035c3635f42	RP1-317E23.3	chr1	25816748	25819925
2b37e7c9-33df-4e80-afc7-06ffa2a7c10e	RP1-317E23.3	chr1	25816748	25819925
ENST00000442055.5	RP1-317E23.3	chr1	25816748	25819925
1b764091-f556-479f-acac-efa0be7f36f5	novelGene_EXTL1_AS	chr1	26025015	26035422
02bc31f5-0085-4650-ba84-7466858689b0	GPATCH3_GPN2	chr1	26879375	26900467
2e8d2522-5092-4200-88db-b4ba55c6983a	ACTG1P20	chr1	27322284	27326544
568a3cc0-5eaa-4fe0-b5e2-1b1f4faf29d6	SPCS2P4	chr1	28095741	28096444
12623f5f-c957-48ac-9cbf-9eae5468e580	PTAFR_DNAJC8	chr1	28149325	28233029
07e4e603-228c-468c-9bfc-05ef49d79bca	SNHG12	chr1	28578537	28581873
27bb892a-eefe-4c42-9ff2-c9a5f98f0458	SNHG12	chr1	28578537	28581873
28b9c161-99ea-4fd0-ae9b-c533326c29c0	SNHG12	chr1	28578537	28581873
2b6ca2d6-1443-405f-b549-cc30efc6b9b9	SNHG12	chr1	28578537	28581873
2ba47788-7085-4b8d-bc9f-d2cfd6e3f8e7	SNHG12	chr1	28578537	28581873
4de74a47-e95a-4608-95c5-3f5004502033	SNHG12	chr1	28578537	28581873
5ee42668-094d-480e-bd7e-b3c1474f909c	SNHG12	chr1	28578537	28581873
641a7255-a5df-4c7a-adef-c7a140e44895	SNHG12	chr1	28578537	28581873
66da5c1c-68d5-4fcb-b841-6e0fc2998f6b	SNHG12	chr1	28578537	28581873
7622eead-5450-4fc8-a18b-fea14ea23e53	SNHG12	chr1	28578537	28581873
8fbba824-219b-4a20-98af-d554044183bf	SNHG12	chr1	28578537	28581873
961e24ae-15c0-40a2-a85c-cf772394960d	SNHG12	chr1	28578537	28581873
9e98eef0-6cc8-413c-8c16-de65ed38813a	SNHG12	chr1	28578537	28581873
ENST00000461448.6	SNHG12	chr1	28578537	28581873
ENST00000461832.2	SNHG12	chr1	28578537	28581873
ENST00000470977.6	SNHG12	chr1	28578537	28581873
ENST00000475441.6	SNHG12	chr1	28578537	28581873
ENST00000481368.6	SNHG12	chr1	28578537	28581873
ENST00000483436.5	SNHG12	chr1	28578537	28581873
ENST00000531126.6	SNHG12	chr1	28578537	28581873
a74e2995-9a21-405f-abd1-d8aed7f8fef0	SNHG12	chr1	28578537	28581873
ad816ee3-6239-460a-b3e9-f315f2d57117	SNHG12_TAF12	chr1	28578537	28643067
b28d8c93-7ed4-4dd4-8f9e-f489c04bb363	SNHG12	chr1	28578537	28581873
d9391caf-01e6-474b-a263-1e0dc55c7dad	SNHG12	chr1	28578537	28581873
f025ba90-cdb1-455c-91ae-ab509cd2179e	SNHG12	chr1	28578537	28581873
c5f280fc-f853-49ef-92fd-a93cd46538a9	SNHG12	chr1	28578545	28581867
d226f053-6a66-432b-839c-e05631242dee	RP1-212P9.3	chr1	28870237	28887700
29d8e76d-fad7-4ad6-901e-30087ec08694	RP4-604A21.1	chr1	28982277	28982643
09e102dd-c743-41b5-8955-fe2a22c36482	MATN1-AS1	chr1	30718771	30729230
2fef461f-fb46-499c-ba3b-861564702653	RP5-1166H10.4_MATN1-AS1	chr1	30718771	30733427
8aba78f0-e9ea-443c-93ec-d84a694e912b	MATN1-AS1	chr1	30718771	30726827
ENST00000454613.1	MATN1-AS1	chr1	30718771	30726827
cc273089-48eb-4927-8aee-dff4073ff91c	MATN1-AS1	chr1	30718771	30726827
d82c2f34-4557-442a-9c50-fa9673e9abfc	MATN1-AS1	chr1	30718771	30728878
0981574d-3ecb-46ac-9849-0c9632d6752f	LINC01226	chr1	31506274	31515262
1cadc4e1-b713-4fb5-b060-c1f23fc2526e	LDC1P	chr1	31506274	31520992
4118d081-d95e-4c9f-9955-9a020ef662bf	LDC1P	chr1	31506274	31515262
5bc14d00-cc90-4b27-af98-dd39f92f1e79	LINC01226	chr1	31506274	31520992
714ce1d2-4ebf-45d5-ac0b-9f0fa129cfc9	LINC01226	chr1	31506274	31536878
78fbf37f-6c01-4663-8cc2-a0971503f4b4	LINC01226	chr1	31506274	31515262
afb0e06c-0abb-4200-affa-dd2c587b93d0	LDC1P	chr1	31506274	31524913
c76fcdb1-5d1f-42e1-9e45-ee8faefd04c4	LINC01226	chr1	31506274	31524913
e5e00e2e-c323-4425-ac82-579f03ef1db4	LINC01226	chr1	31506274	31553615
f997f83a-6eb6-4435-9b5f-f91e6bd7c771	LINC01226_LDC1P	chr1	31506274	31522543
3c77a923-f6ab-41bd-b9fe-4a0ceac4a40a	TXLNA_CCDC28B	chr1	32179674	32205387
c9baec4d-cfc1-4978-92b2-2513662ab992	TXLNA_CCDC28B	chr1	32179674	32205387
0d66de13-f312-4936-84dd-5a44f161a366	TMEM234_RP4-622L5.7	chr1	32202514	32222335
653aa087-ae93-4ec1-824f-d46b22eb9b8f	TMEM234_RP4-622L5.7	chr1	32202761	32222335
0e9fbae9-54fd-48af-a30f-b186a82fb3aa	MTMR9LP	chr1	32231659	32241620
810a162e-5d9d-4a34-b390-c90492e25cd8	MTMR9LP	chr1	32231659	32241620
907421d5-5790-4561-92df-08e9270c8538	MTMR9LP	chr1	32231659	32241620
80764965-f118-49f0-8ffd-bfea406eafdd	novelGene_MARCKSL1_AS	chr1	32335363	32349193
8175c1d8-ffd7-4323-9751-f775cf6d41f1	FAM229A_BSDC1	chr1	32361269	32394428
03b325e2-9645-4182-aeae-edcff53d6c34	TFAP2E-AS1_PSMB2	chr1	35569812	35641526
1518c808-2f5d-456a-a975-69e823432c52	TFAP2E-AS1_PSMB2	chr1	35569812	35641526
7e778bdf-d905-49b8-a068-273df63df29f	TFAP2E-AS1	chr1	35569812	35577735
9e5a5abd-ad53-4928-9fc0-515f088d9ad5	TFAP2E-AS1	chr1	35569812	35577735
c5524c7b-2757-462d-897a-d183158b3fa6	TFAP2E-AS1	chr1	35569812	35577735
e58cadd7-0f99-48f7-9568-7e5f9eab8935	TFAP2E-AS1	chr1	35569812	35577735
8b7650db-d82b-4dbf-aa63-602c9d617958	STK40_LSM10	chr1	36339627	36397887
bc1899b7-b97f-45ce-b830-34ac2a55cc0f	STK40_LSM10	chr1	36339627	36397887
8fa4db33-a3ea-42f1-becf-1338deb3e2a9	STK40_LSM10	chr1	36347645	36397887
fc542a7d-9c09-4e87-b23e-d2f991d57aec	STK40_LSM10	chr1	36347645	36397887
d9c4a495-bcdf-433c-8e05-c1373bdbf0e6	STK40_LSM10	chr1	36366836	36397887
06383601-8608-4c86-8704-e015577e20f4	novelGene_OSCP1_AS	chr1	36401262	36444804
4f837fec-5252-4cb1-a8e7-94d4fe55ce0f	novelGene_170	chr1	36401262	36408102
7291f2ec-0911-40bd-8986-a302272dcef0	novelGene_OSCP1_AS	chr1	36401262	36420780
49dfb515-9c4b-45d1-a4a9-f19ed16bc774	novelGene_SNIP1_AS	chr1	37519041	37541366
6a0b8429-4c90-4f9b-87da-606747ef1e5d	novelGene_SNIP1_AS	chr1	37519041	37541594
94dbd507-9f48-4216-a52b-2d6b2fb22939	novelGene_SNIP1_AS	chr1	37519041	37541366
afe432d6-ceaf-420f-967a-e1e10f7af31f	novelGene_SNIP1_AS	chr1	37519041	37541155
e7ce4e60-93f3-4bf9-aac4-e87c61477719	novelGene_SNIP1_AS	chr1	37519041	37541155
236ae65a-d7a9-465e-8edf-0e7431d8d94a	RP5-864K19.4	chr1	38859972	38919431
ENST00000663032.1	RP5-864K19.4	chr1	38859972	38919431
f5c40049-af9f-4d27-ab44-b6917ad2ca76	RP5-864K19.4	chr1	38859972	38919431
030f02c4-8a03-4dc7-892f-15f018d5f547	NDUFS5_MACF1	chr1	39026317	39084586
5c25d0fd-2055-40fc-b969-4941308a0c33	NDUFS5_MACF1	chr1	39026349	39085688
0c04b9bd-3c14-4011-b814-b2af53e0f3f4	PPIEL	chr1	39522279	39559671
1e1981e9-1f9f-482b-ac3e-b1f24ebce10f	PPIEL	chr1	39522279	39559671
21144d56-7b9c-487f-b1e4-ebacc721eab6	PPIEL	chr1	39522279	39559671
427e0b6e-9422-4496-bdfd-42690e88fe38	PPIEL	chr1	39522279	39559671
5ece571a-3e15-4c12-b7e7-24ac5cd2e53b	PPIEL	chr1	39522279	39559671
63a52622-1af4-4581-8363-55c9c2e78ab6	PPIEL	chr1	39522279	39559671
8a764552-8f14-4478-aa88-ef6145245e40	PPIEL	chr1	39522279	39559671
95ebd1c0-77fb-4eb4-816d-90c4990966ee	PPIEL	chr1	39522279	39559671
a1360a60-e452-4079-b262-0aaec46a3096	PPIEL	chr1	39522279	39559671
b2a24e16-a69d-4719-8eae-aa9f9436c8cc	PPIEL	chr1	39522279	39559671
b3ef9375-13f1-4fea-92fb-0acea89fb759	PPIEL	chr1	39522279	39559671
